Temperature,ADC_Value,Voltage,Time,FSM_State_Index,Heater_Currently_On
56312,3954,3186,28027,2,1
55915,3956,3187,28288,2,1
56509,3953,3185,28549,2,1
57094,3950,3183,28810,2,1
56509,3953,3185,29071,2,1
55714,3957,3188,29332,2,1
56705,3952,3184,29593,2,1
56509,3953,3185,29854,2,1
57094,3950,3183,30115,2,1
56900,3951,3183,30376,2,1
56705,3952,3184,30637,2,1
57094,3950,3183,30898,2,1
56705,3952,3184,31159,2,1
56900,3951,3183,31420,2,1
56900,3951,3183,31681,2,1
57286,3949,3182,31942,2,1
57286,3949,3182,32203,2,1
57286,3949,3182,32464,2,1
57668,3947,3180,32725,2,1
57478,3948,3181,32986,2,1
57668,3947,3180,33247,2,1
56509,3953,3185,33508,2,1
58234,3944,3178,33769,2,1
58047,3945,3179,34030,2,1
58421,3943,3177,34291,2,1
57668,3947,3180,34552,2,1
58047,3945,3179,34813,2,1
57858,3946,3179,35074,2,1
58421,3943,3177,35335,2,1
58047,3945,3179,35596,2,1
57668,3947,3180,35857,2,1
58421,3943,3177,36118,2,1
58606,3942,3176,36379,2,1
58421,3943,3177,36640,2,1
58234,3944,3178,36901,2,1
58606,3942,3176,37162,2,1
58047,3945,3179,37423,2,1
58606,3942,3176,37684,2,1
58234,3944,3178,37945,2,1
58421,3943,3177,38206,2,1
58606,3942,3176,38467,2,1
58975,3940,3175,38728,2,1
58975,3940,3175,38989,2,1
58975,3940,3175,39250,2,1
58791,3941,3175,39511,2,1
59158,3939,3174,39772,2,1
59158,3939,3174,40033,2,1
59701,3936,3171,40294,2,1
58791,3941,3175,40555,2,1
59521,3937,3172,40816,2,1
59880,3935,3171,41077,2,1
59880,3935,3171,41338,2,1
59340,3938,3173,41599,2,1
59701,3936,3171,41860,2,1
59521,3937,3172,42121,2,1
59521,3937,3172,42382,2,1
59880,3935,3171,42643,2,1
59701,3936,3171,42904,2,1
60235,3933,3169,43165,2,1
60588,3931,3167,43426,2,1
60058,3934,3170,43687,2,1
60058,3934,3170,43948,2,1
60588,3931,3167,44209,2,1
60937,3929,3166,44470,2,1
60937,3929,3166,44731,2,1
60588,3931,3167,44992,2,1
60937,3929,3166,45253,2,1
61282,3927,3164,45514,2,1
61282,3927,3164,45775,2,1
60937,3929,3166,46036,2,1
61282,3927,3164,46297,2,1
61282,3927,3164,46558,2,1
61795,3924,3162,46819,2,1
61282,3927,3164,47080,2,1
61625,3925,3163,47341,2,1
62300,3921,3159,47602,2,1
62300,3921,3159,47863,2,1
61625,3925,3163,48124,2,1
62133,3922,3160,48385,2,1
61964,3923,3161,48646,2,1
61454,3926,3163,48907,2,1
61964,3923,3161,49168,2,1
62799,3918,3157,49429,2,1
62799,3918,3157,49690,2,1
62300,3921,3159,49951,2,1
62633,3919,3158,50212,2,1
62799,3918,3157,50473,2,1
62964,3917,3156,50734,2,1
62964,3917,3156,50995,2,1
63454,3914,3154,51256,2,1
63777,3912,3152,51517,2,1
63937,3911,3151,51778,2,1
63777,3912,3152,52039,2,1
64256,3909,3150,52300,2,1
64256,3909,3150,52561,2,1
64256,3909,3150,52822,2,1
63937,3911,3151,53083,2,1
64573,3907,3148,53344,2,1
64256,3909,3150,53605,2,1
64573,3907,3148,53866,2,1
65043,3904,3146,54127,2,1
65043,3904,3146,54388,2,1
65507,3901,3143,54649,2,1
65353,3902,3144,54910,2,1
65043,3904,3146,55171,2,1
65507,3901,3143,55432,2,1
65507,3901,3143,55693,2,1
65965,3898,3141,55954,2,1
66117,3897,3140,56215,2,1
66117,3897,3140,56476,2,1
65660,3900,3142,56737,2,1
65660,3900,3142,56998,2,1
65965,3898,3141,57259,2,1
66268,3896,3139,57520,2,1
66568,3894,3138,57781,2,1
66418,3895,3138,58042,2,1
66866,3892,3136,58303,2,1
67162,3890,3134,58564,2,1
67015,3891,3135,58825,2,1
67162,3890,3134,59086,2,1
67602,3887,3132,59347,2,1
67602,3887,3132,59608,2,1
68180,3883,3129,59869,2,1
67602,3887,3132,60130,2,1
67602,3887,3132,60391,2,1
68467,3881,3127,60652,2,1
67747,3886,3131,60913,2,1
68467,3881,3127,61174,2,1
68751,3879,3125,61435,2,1
68467,3881,3127,61696,2,1
68324,3882,3128,61957,2,1
68180,3883,3129,62218,2,1
68324,3882,3128,62479,2,1
68751,3879,3125,62740,2,1
69591,3873,3121,63001,2,1
69313,3875,3122,63262,2,1
69033,3877,3124,63523,2,1
69313,3875,3122,63784,2,1
69313,3875,3122,64045,2,1
69730,3872,3120,64306,2,1
69033,3877,3124,64567,2,1
69591,3873,3121,64828,2,1
69730,3872,3120,65089,2,1
70005,3870,3118,65350,2,1
70142,3869,3117,65611,2,1
70278,3868,3117,65872,2,1
70820,3864,3113,66133,2,1
70142,3869,3117,66394,2,1
70954,3863,3113,66655,2,1
71354,3860,3110,66916,2,1
71088,3862,3112,67177,2,1
71354,3860,3110,67438,2,1
71487,3859,3109,67699,2,1
70820,3864,3113,67960,2,1
71619,3858,3109,68221,2,1
71751,3857,3108,68482,2,1
71354,3860,3110,68743,2,1
72013,3855,3106,69004,2,1
72273,3853,3104,69265,2,1
72143,3854,3105,69526,2,1
72273,3853,3104,69787,2,1
72789,3849,3101,70048,2,1
72661,3850,3102,70309,2,1
72918,3848,3100,70570,2,1
73552,3843,3096,70831,2,1
73172,3846,3099,71092,2,1
73426,3844,3097,71353,2,1
73299,3845,3098,71614,2,1
73045,3847,3100,71875,2,1
73928,3840,3094,72136,2,1
73803,3841,3095,72397,2,1
73928,3840,3094,72658,2,1
74177,3838,3092,72919,2,1
74301,3837,3092,73180,2,1
74301,3837,3092,73441,2,1
74670,3834,3089,73702,2,1
74301,3837,3092,73963,2,1
74915,3832,3088,74224,2,1
74793,3833,3088,74485,2,1
75158,3830,3086,74746,2,1
75158,3830,3086,75007,2,1
75279,3829,3085,75268,2,1
75641,3826,3083,75529,2,1
75761,3825,3082,75790,2,1
75641,3826,3083,76051,2,1
76118,3822,3080,76312,2,1
72661,3850,3102,76573,2,1
76236,3821,3079,76834,2,1
76590,3818,3076,77095,2,1
76707,3817,3075,77356,2,1
77173,3813,3072,77617,2,1
77173,3813,3072,77878,2,1
77404,3811,3071,78139,2,1
77173,3813,3072,78400,2,1
77976,3806,3067,78661,2,1
78203,3804,3065,78922,2,1
77976,3806,3067,79183,2,1
78316,3803,3064,79444,2,1
78203,3804,3065,79705,2,1
78541,3801,3063,79966,2,1
78541,3801,3063,80227,2,1
78877,3798,3060,80488,2,1
78877,3798,3060,80749,2,1
79210,3795,3058,81010,2,1
79650,3791,3055,81271,2,1
79320,3794,3057,81532,2,1
79650,3791,3055,81793,2,1
80087,3787,3051,82054,2,1
79869,3789,3053,82315,2,1
79978,3788,3052,82576,2,1
80195,3786,3050,82837,2,1
80519,3783,3048,83098,2,1
80733,3781,3046,83359,2,1
80733,3781,3046,83620,2,1
80733,3781,3046,83881,2,1
81265,3776,3042,84142,2,1
81053,3778,3044,84403,2,1
81265,3776,3042,84664,2,1
81687,3772,3039,84925,2,1
82000,3769,3037,85186,2,1
82000,3769,3037,85447,2,1
81896,3770,3038,85708,2,1
82415,3765,3034,85969,2,1
82518,3764,3033,86230,2,1
82312,3766,3034,86491,2,1
83132,3758,3028,86752,2,1
83234,3757,3027,87013,2,1
83436,3755,3026,87274,2,1
83234,3757,3027,87535,2,1
83537,3754,3025,87796,2,1
83537,3754,3025,88057,2,1
83839,3751,3022,88318,2,1
84039,3749,3021,88579,2,1
84238,3747,3019,88840,2,1
84238,3747,3019,89101,2,1
84732,3742,3015,89362,2,1
84732,3742,3015,89623,2,1
85027,3739,3013,89884,2,1
84831,3741,3014,90145,2,1
85124,3738,3012,90406,2,1
85706,3732,3007,90667,2,1
85513,3734,3009,90928,2,1
85899,3730,3005,91189,2,1
85995,3729,3005,91450,2,1
86567,3723,3000,91711,2,1
86567,3723,3000,91972,2,1
86472,3724,3001,92233,2,1
86567,3723,3000,92494,2,1
86851,3720,2997,92755,2,1
87133,3717,2995,93016,2,1
87506,3713,2992,93277,2,1
87784,3710,2989,93538,2,1
87969,3708,2988,93799,2,1
87969,3708,2988,94060,2,1
87969,3708,2988,94321,2,1
88519,3702,2983,94582,2,1
88428,3703,2984,94843,2,1
88428,3703,2984,95104,2,1
89244,3694,2976,95365,2,1
88974,3697,2979,95626,2,1
89603,3690,2973,95887,2,1
89870,3687,2971,96148,2,1
89692,3689,2972,96409,2,1
90048,3685,2969,96670,2,1
90048,3685,2969,96931,2,1
90224,3683,2967,97192,2,1
90664,3678,2963,97453,2,1
90926,3675,2961,97714,2,1
91100,3673,2959,97975,2,1
91100,3673,2959,98236,2,1
91360,3670,2957,98497,2,1
91533,3668,2955,98758,2,1
92132,3661,2950,99019,2,1
91876,3664,2952,99280,2,1
92132,3661,2950,99541,2,1
92894,3652,2943,99802,2,1
92472,3657,2947,100063,2,1
92641,3655,2945,100324,2,1
92978,3651,2942,100585,2,1
93396,3646,2938,100846,2,1
93396,3646,2938,101107,2,1
93728,3642,2934,101368,2,1
94058,3638,2931,101629,2,1
94058,3638,2931,101890,2,1
94304,3635,2929,102151,2,1
94794,3629,2924,102412,2,1
94956,3627,2922,102673,2,1
95037,3626,2922,102934,2,1
94956,3627,2922,103195,2,1
95279,3623,2919,103456,2,1
95279,3623,2919,103717,2,1
95680,3618,2915,103978,2,1
95840,3616,2913,104239,2,1
96079,3613,2911,104500,2,1
96237,3611,2909,104761,2,1
96475,3608,2907,105022,2,1
96711,3605,2905,105283,2,1
97102,3600,2901,105544,2,1
97024,3601,2901,105805,2,1
97414,3596,2897,106066,2,1
97569,3594,2896,106327,2,1
97646,3593,2895,106588,2,1
98262,3585,2889,106849,2,1
98032,3588,2891,107110,2,1
98109,3587,2890,107371,2,1
98567,3581,2885,107632,2,1
98795,3578,2883,107893,2,1
99023,3575,2880,108154,2,0
99624,3567,2874,108415,2,0
99549,3568,2875,108676,2,0
99923,3563,2871,108937,2,0
99998,3562,2870,109198,2,0
100220,3559,2868,109468,3,0
100294,3558,2867,109738,3,0
100737,3552,2862,110008,3,0
100811,3551,2861,110278,3,0
101031,3548,2859,110548,3,0
101323,3544,2855,110818,3,0
101396,3543,2855,111088,3,0
101831,3537,2850,111358,3,0
101759,3538,2851,111628,3,0
102047,3534,2847,111898,3,0
102335,3530,2844,112168,3,0
102550,3527,2842,112438,3,0
102550,3527,2842,112708,3,0
103048,3520,2836,112978,3,0
103402,3515,2832,113248,3,0
103543,3513,2830,113518,3,0
103684,3511,2829,113788,3,0
103754,3510,2828,114058,3,0
103964,3507,2826,114328,3,0
104313,3502,2822,114598,3,0
104383,3501,2821,114868,3,0
104591,3498,2818,115138,3,0
105075,3491,2813,115408,3,0
105075,3491,2813,115678,3,0
105349,3487,2810,115948,3,0
105349,3487,2810,116218,3,0
105555,3484,2807,116488,3,0
105623,3483,2806,116758,3,0
106032,3477,2801,117028,3,0
106167,3475,2800,117298,3,0
106167,3475,2800,117568,3,0
106640,3468,2794,117838,3,0
106774,3466,2793,118108,3,0
106976,3463,2790,118378,3,0
107043,3462,2789,118648,3,0
107243,3459,2787,118918,3,0
107310,3458,2786,119188,3,0
107642,3453,2782,119458,3,0
107775,3451,2781,119728,3,0
107841,3450,2780,119998,3,0
108105,3446,2776,120268,3,0
108369,3442,2773,120538,3,0
108434,3441,2772,120808,3,0
108500,3440,2772,121078,3,0
108958,3433,2766,121348,3,0
108893,3434,2767,121618,3,0
108958,3433,2766,121888,3,0
109153,3430,2764,122158,3,0
109153,3430,2764,122428,3,0
109477,3425,2760,122698,3,0
109607,3423,2758,122968,3,0
109865,3419,2755,123238,3,0
109736,3421,2756,123508,3,0
109153,3430,2764,123778,3,0
110186,3414,2751,124048,3,0
110378,3411,2748,124318,3,0
110314,3412,2749,124588,3,0
110506,3409,2747,124858,3,0
110697,3406,2744,125128,3,0
110825,3404,2743,125398,3,0
111015,3401,2740,125668,3,0
111142,3399,2739,125938,3,0
111142,3399,2739,126208,3,0
111395,3395,2735,126478,3,0
111395,3395,2735,126748,3,0
111521,3393,2734,127018,3,0
111584,3392,2733,127288,3,0
111899,3387,2729,127558,3,0
111961,3386,2728,127828,3,0
111899,3387,2729,128098,3,0
111961,3386,2728,128368,3,0
112274,3381,2724,128638,3,0
112274,3381,2724,128908,3,0
112274,3381,2724,129178,3,0
112461,3378,2722,129448,3,0
112461,3378,2722,129718,4,1
112586,3376,2720,129988,4,1
112586,3376,2720,130258,4,1
112648,3375,2719,130528,4,1
113082,3368,2714,130798,4,1
113082,3368,2714,131068,4,1
112958,3370,2715,131338,4,1
113143,3367,2713,131608,4,1
113205,3366,2712,131878,4,1
113082,3368,2714,132148,4,1
113020,3369,2714,132418,4,1
113390,3363,2710,132688,4,1
113452,3362,2709,132958,4,1
113390,3363,2710,133228,4,1
113697,3358,2706,133498,4,1
113575,3360,2707,133768,4,1
113759,3357,2705,134038,4,1
113820,3356,2704,134308,4,1
113636,3359,2706,134578,4,1
113881,3355,2703,134848,4,1
114370,3347,2697,135118,4,1
114126,3351,2700,135388,4,1
114126,3351,2700,135658,4,1
114248,3349,2698,135928,4,1
114187,3350,2699,136198,4,1
114187,3350,2699,136468,4,1
114430,3346,2696,136738,4,1
114855,3339,2690,137008,4,1
114734,3341,2692,137278,4,1
114613,3343,2693,137548,4,1
114734,3341,2692,137818,4,1
115097,3335,2687,138088,4,1
114613,3343,2693,138358,4,1
114916,3338,2689,138628,4,1
114855,3339,2690,138898,4,1
115217,3333,2685,139168,4,1
115217,3333,2685,139438,4,1
115398,3330,2683,139708,4,1
115338,3331,2684,139978,4,1
115638,3326,2680,140248,4,1
115518,3328,2681,140518,4,1
115638,3326,2680,140788,4,1
115638,3326,2680,141058,4,1
115818,3323,2677,141328,4,1
115937,3321,2676,141598,4,1
115878,3322,2677,141868,4,1
116057,3319,2674,142138,4,1
116117,3318,2673,142408,4,1
116295,3315,2671,142678,4,1
115997,3320,2675,142948,4,1
116295,3315,2671,143218,4,1
116295,3315,2671,143488,4,1
116592,3310,2667,143758,4,1
116533,3311,2668,144028,4,1
116533,3311,2668,144298,4,1
116711,3308,2665,144568,4,1
116888,3305,2663,144838,4,1
116948,3304,2662,145108,4,1
117066,3302,2660,145378,4,1
117125,3301,2660,145648,4,1
117125,3301,2660,145918,4,1
117301,3298,2657,146188,4,1
117360,3297,2656,146458,4,1
117536,3294,2654,146728,4,1
117771,3290,2651,146998,4,1
117595,3293,2653,147268,4,1
117771,3290,2651,147538,4,1
117946,3287,2648,147808,4,1
117771,3290,2651,148078,4,1
117946,3287,2648,148348,4,1
118296,3281,2644,148618,4,1
118180,3283,2645,148888,4,1
118121,3284,2646,149158,4,1
118413,3279,2642,149428,4,1
118703,3274,2638,149698,4,1
119281,3264,2630,149968,4,1
118934,3270,2635,150238,4,1
118934,3270,2635,150508,4,1
118992,3269,2634,150778,4,1
118992,3269,2634,151048,4,1
119338,3263,2629,151318,4,1
119281,3264,2630,151588,4,1
118934,3270,2635,151858,4,1
119511,3260,2627,152128,4,1
119740,3256,2623,152398,4,1
119740,3256,2623,152668,4,1
119912,3253,2621,152938,4,1
120084,3250,2619,153208,4,1
120084,3250,2619,153478,4,1
120255,3247,2616,153748,4,1
120483,3243,2613,154018,4,1
120540,3242,2612,154288,4,1
120426,3244,2614,154558,4,1
121050,3233,2605,154828,4,1
121050,3233,2605,155098,4,1
121050,3233,2605,155368,4,1
121220,3230,2602,155638,4,1
121276,3229,2602,155908,4,1
121446,3226,2599,156178,4,1
121614,3223,2597,156448,4,1
121783,3220,2594,156718,4,1
121951,3217,2592,156988,4,1
122008,3216,2591,157258,4,1
122120,3214,2590,157528,4,1
122343,3210,2586,157798,4,1
122511,3207,2584,158068,4,1
122622,3205,2582,158338,4,1
122845,3201,2579,158608,4,1
123067,3197,2576,158878,4,1
123178,3195,2574,159148,4,1
123178,3195,2574,159418,4,1
123289,3193,2573,159688,4,1
123510,3189,2569,159958,4,1
123620,3187,2568,160228,4,1
123786,3184,2565,160498,4,1
123896,3182,2564,160768,4,1
124116,3178,2561,161038,4,1
124116,3178,2561,161308,4,1
124171,3177,2560,161578,4,1
124500,3171,2555,161848,4,1
124719,3167,2552,162118,4,1
124937,3163,2548,162388,4,1
124937,3163,2548,162658,4,1
124992,3162,2548,162928,4,1
125101,3160,2546,163198,4,1
125373,3155,2542,163468,4,1
125644,3150,2538,163738,4,1
125698,3149,2537,164008,4,1
125969,3144,2533,164278,4,1
125969,3144,2533,164548,4,1
125969,3144,2533,164818,4,1
126347,3137,2527,165088,4,1
126508,3134,2525,165358,4,1
126562,3133,2524,165628,4,1
126562,3133,2524,165898,4,1
126831,3128,2520,166168,4,1
126991,3125,2518,166438,4,1
127206,3121,2515,166708,4,1
127366,3118,2512,166978,4,1
127580,3114,2509,167248,4,1
127739,3111,2507,167518,4,1
127793,3110,2506,167788,4,1
127952,3107,2503,168058,4,1
127899,3108,2504,168328,4,1
128377,3099,2497,168598,4,1
128271,3101,2498,168868,4,1
128589,3095,2494,169138,4,1
128483,3097,2495,169408,4,1
128906,3089,2489,169678,4,1
129011,3087,2487,169948,4,1
129117,3085,2486,170218,4,1
129275,3082,2483,170488,4,1
129275,3082,2483,170758,4,1
129538,3077,2479,171028,4,1
129695,3074,2477,171298,4,1
129957,3069,2473,171568,4,1
130219,3064,2469,171838,4,1
130219,3064,2469,172108,4,1
130376,3061,2466,172378,4,1
130532,3058,2464,172648,4,1
130532,3058,2464,172918,4,1
130792,3053,2460,173188,4,1
130949,3050,2457,173458,4,1
131208,3045,2453,173728,4,1
131208,3045,2453,173998,4,1
131416,3041,2450,174268,4,1
131467,3040,2449,174538,4,1
131829,3033,2444,174808,4,1
131623,3037,2447,175078,4,1
132088,3028,2440,175348,4,1
132242,3025,2437,175618,4,1
132242,3025,2437,175888,4,1
132397,3022,2435,176158,4,1
132654,3017,2431,176428,4,1
132910,3012,2427,176698,4,1
133064,3009,2424,176968,4,1
133167,3007,2423,177238,4,1
133371,3003,2420,177508,4,1
133678,2997,2415,177778,4,1
133729,2996,2414,178048,4,1
133831,2994,2412,178318,4,1
134085,2989,2408,178588,4,1
134238,2986,2406,178858,4,1
134391,2983,2403,179128,4,1
134695,2977,2399,179398,4,1
134746,2976,2398,179668,4,1
134948,2972,2395,179938,4,1
135151,2968,2391,180208,4,1
135252,2966,2390,180478,4,1
135302,2965,2389,180748,4,1
135555,2960,2385,181018,4,1
135807,2955,2381,181288,4,1
135857,2954,2380,181558,4,1
136260,2946,2374,181828,4,1
136260,2946,2374,182098,4,1
136511,2941,2370,182368,4,1
136611,2939,2368,182638,4,1
136862,2934,2364,182908,4,1
137212,2927,2358,183178,4,1
137212,2927,2358,183448,4,1
137412,2923,2355,183718,4,1
137462,2922,2354,183988,4,1
137711,2917,2350,184258,4,1
138010,2911,2345,184528,4,1
138059,2910,2345,184798,4,1
138159,2908,2343,185068,4,1
138407,2903,2339,185338,4,1
138556,2900,2336,185608,4,1
138705,2897,2334,185878,4,1
139052,2890,2328,186148,4,1
139052,2890,2328,186418,4,1
139299,2885,2324,186688,4,1
139349,2884,2324,186958,4,1
139497,2881,2321,187228,4,1
139596,2879,2320,187498,4,1
139941,2872,2314,187768,4,1
140138,2868,2311,188038,4,1
140286,2865,2308,188308,4,1
140384,2863,2307,188578,4,1
140286,2865,2308,188848,4,1
140679,2857,2302,189118,4,1
140728,2856,2301,189388,4,1
141121,2848,2295,189658,4,1
141317,2844,2291,189928,4,1
141464,2841,2289,190198,4,1
141366,2843,2291,190468,4,1
141660,2837,2286,190738,4,1
141806,2834,2283,191008,4,1
142148,2827,2278,191278,4,1
142295,2824,2275,191548,4,1
142490,2820,2272,191818,4,1
142587,2818,2270,192088,4,1
142782,2814,2267,192358,4,1
142928,2811,2265,192628,4,1
143171,2806,2261,192898,4,1
143269,2804,2259,193168,4,1
143512,2799,2255,193438,4,1
143609,2797,2253,193708,4,1
143803,2793,2250,193978,4,1
143948,2790,2248,194248,4,1
144239,2784,2243,194518,4,1
144384,2781,2241,194788,4,1
144723,2774,2235,195058,4,1
144916,2770,2232,195328,4,1
144916,2770,2232,195598,4,1
145206,2764,2227,195868,4,1
144965,2769,2231,196138,4,1
145399,2760,2224,196408,4,1
145688,2754,2219,196678,4,1
145833,2751,2216,196948,4,1
146025,2747,2213,197218,4,1
146122,2745,2212,197488,4,1
146410,2739,2207,197758,4,1
146651,2734,2203,198028,4,1
146699,2733,2202,198298,4,1
146939,2728,2198,198568,4,1
147179,2723,2194,198838,4,1
147179,2723,2194,199108,4,1
147419,2718,2190,199378,4,1
147706,2712,2185,199648,4,1
147850,2709,2183,199918,4,1
148137,2703,2178,200188,4,1
148233,2701,2176,200458,4,1
148424,2697,2173,200728,4,1
148520,2695,2171,200998,4,1
148711,2691,2168,201268,4,1
148855,2688,2166,201538,4,1
149141,2682,2161,201808,4,0
149284,2679,2158,202078,4,0
149428,2676,2156,202348,4,0
149571,2673,2154,202618,4,0
149714,2670,2151,202888,4,0
149952,2665,2147,203158,4,0
150000,2664,2146,203428,5,0
150238,2659,2142,203698,5,0
150714,2649,2134,203968,5,0
150619,2651,2136,204238,5,0
150857,2646,2132,204508,5,0
151000,2643,2129,204778,5,0
151095,2641,2128,205048,5,0
151285,2637,2125,205318,5,0
151523,2632,2121,205588,5,0
151855,2625,2115,205858,5,0
151808,2626,2116,206128,5,0
151998,2622,2112,206398,5,0
152140,2619,2110,206668,5,0
152282,2616,2108,206938,5,0
152472,2612,2104,207208,5,0
152615,2609,2102,207478,5,0
152852,2604,2098,207748,5,0
152899,2603,2097,208018,5,0
153184,2597,2092,208288,5,0
153184,2597,2092,208558,5,0
153563,2589,2086,208828,5,0
153468,2591,2087,209098,5,0
153658,2587,2084,209368,5,0
153800,2584,2082,209638,5,0
153894,2582,2080,209908,5,0
154084,2578,2077,210178,5,0
154415,2571,2071,210448,5,0
154273,2574,2074,210718,5,0
154557,2568,2069,210988,5,0
154605,2567,2068,211258,5,0
154794,2563,2065,211528,5,0
154794,2563,2065,211798,5,0
154983,2559,2062,212068,5,0
155125,2556,2059,212338,5,0
155172,2555,2058,212608,5,0
155220,2554,2058,212878,5,0
155456,2549,2054,213148,5,0
155362,2551,2055,213418,5,0
155645,2545,2050,213688,5,0
155645,2545,2050,213958,5,0
155835,2541,2047,214228,5,0
155929,2539,2046,214498,5,0
156024,2537,2044,214768,5,0
156071,2536,2043,215038,5,0
156166,2534,2042,215308,5,0
156402,2529,2038,215578,5,0
156496,2527,2036,215848,5,0
156544,2526,2035,216118,5,0
156449,2528,2037,216388,5,0
156827,2520,2030,216658,5,0
156733,2522,2032,216928,5,0
156827,2520,2030,217198,5,0
156827,2520,2030,217468,5,0
156922,2518,2029,217738,5,0
157064,2515,2026,218008,5,0
157158,2513,2025,218278,5,0
157205,2512,2024,218548,5,0
157205,2512,2024,218818,5,0
157253,2511,2023,219088,5,0
157253,2511,2023,219358,5,0
157442,2507,2020,219628,5,0
157489,2506,2019,219898,5,0
157536,2505,2018,220168,5,0
157678,2502,2016,220438,5,0
157583,2504,2017,220708,5,0
157678,2502,2016,220978,5,0
157867,2498,2013,221248,5,0
157678,2502,2016,221518,5,0
157820,2499,2013,221788,5,0
158103,2493,2009,222058,5,0
157961,2496,2011,222328,5,0
158906,2476,1995,222598,5,0
158150,2492,2008,222868,5,0
158245,2490,2006,223138,5,0
158150,2492,2008,223408,5,0
158198,2491,2007,223678,6,1
158339,2488,2004,223948,6,1
158339,2488,2004,224218,6,1
158339,2488,2004,224488,6,1
158434,2486,2003,224758,6,1
158434,2486,2003,225028,6,1
158103,2493,2009,225298,6,1
158434,2486,2003,225568,6,1
158481,2485,2002,225838,6,1
158623,2482,2000,226108,6,1
158670,2481,1999,226378,6,1
158576,2483,2000,226648,6,1
158528,2484,2001,226918,6,1
158576,2483,2000,227188,6,1
158623,2482,2000,227458,6,1
158717,2480,1998,227728,6,1
158859,2477,1996,227998,6,1
158812,2478,1996,228268,6,1
158812,2478,1996,228538,6,1
158765,2479,1997,228808,6,1
158812,2478,1996,229078,6,1
158859,2477,1996,229348,6,1
159048,2473,1992,229618,6,1
158859,2477,1996,229888,6,1
159048,2473,1992,230158,6,1
158906,2476,1995,230428,6,1
158859,2477,1996,230698,6,1
159001,2474,1993,230968,6,1
158954,2475,1994,231238,6,1
159048,2473,1992,231508,6,1
159095,2472,1992,231778,6,1
159001,2474,1993,232048,6,1
159190,2470,1990,232318,6,1
159095,2472,1992,232588,6,1
159237,2469,1989,232858,6,1
